r0,r1,r2,r3,r4,r5,E
1.6356646037,1.6798379185,1.6933453256,1.0073742010,1.0109121075,0.9808358477,0.0028152500
1.5974067348,1.6425020148,1.7265942065,0.9860497346,1.0068428277,0.9915236052,0.0028686600
1.5345802471,1.5344617369,1.5344526644,0.9605067206,0.9604926533,0.9603274339,0.0028839100
1.6303434252,1.6027384812,1.5954370361,0.9278922114,0.9861966816,0.9643559458,0.0030212400
1.6691218914,1.6689927983,1.6690000532,0.9640705891,0.9640627831,0.9638256004,0.0030670200
1.6026815347,1.6277506954,1.5994569875,0.9572997033,1.0052091081,0.9389759038,0.0030899100
1.6027460333,1.5984449564,1.5650137702,1.0185624454,0.9936652251,0.9751716819,0.0030899100
1.5670558963,1.5665567270,1.5907366445,0.9321362281,0.9637894065,0.9399546766,0.0031509400
1.5837298502,1.6305929615,1.5377728289,0.9956207438,0.9460005827,0.9367390347,0.0031509400
1.6198266941,1.6940623328,1.5778208200,0.9602357841,0.9472017415,1.0028395453,0.0031585700
1.6401993206,1.5838888461,1.6080748478,0.9360024086,0.9750007294,1.0035512771,0.0031585700
1.6041807332,1.5915015033,1.7384846878,0.9580929982,0.9829487107,1.0001861134,0.0031890900
1.6369058141,1.6721813958,1.5925975212,0.9758265348,0.9768736811,0.9348780130,0.0031890900
1.7222607791,1.6151909337,1.5666995844,0.9867491236,0.9982061257,0.9838114519,0.0031967200
1.6692158036,1.5923808239,1.7154079968,0.9671242648,1.0142728221,1.0102677926,0.0032196100
1.6189385226,1.6736812433,1.5351882099,0.9784500917,0.9327071139,0.9705945165,0.0032272400
1.6780849656,1.6693390841,1.5941259809,1.0054658375,1.0108256091,0.9480297833,0.0032272400
1.5495827440,1.6468684167,1.7157279579,0.9853656288,0.9786176456,1.0026567460,0.0032501300
1.6615725076,1.7455101547,1.6319994970,1.0048229326,0.9721915369,0.9786477503,0.0032806400
1.6636714780,1.6403473165,1.6828114528,0.9598714933,0.9974364649,0.9465881709,0.0033035300
1.5700420290,1.6016022011,1.5308007010,0.9921497149,0.9896110016,0.9908014697,0.0033798200
1.6944914240,1.6220518998,1.6407988653,0.9992909480,1.0009760961,0.9329138965,0.0033950800
1.6450891536,1.5909696512,1.5834734580,1.0167793968,0.9972474068,0.9994799436,0.0034790100
1.7099106689,1.5989134189,1.5764037130,0.9968839940,1.0152053283,0.9439919095,0.0034942700
1.6124886887,1.6425966380,1.6391381600,0.9323193846,0.9869832199,0.9555269940,0.0035019000
1.6774787600,1.6673122662,1.6282692646,0.9763193424,1.0284379800,0.9575516034,0.0035400400
1.6181165844,1.5840850984,1.6498855170,0.9380603059,1.0291485835,0.9804501155,0.0035629300
1.6607060365,1.6607260779,1.6607323302,1.0153790225,1.0153788848,1.0153769335,0.0035934500
1.6607060365,1.6607260779,1.6607323302,1.0153790225,1.0153788848,1.0153769335,0.0035934500
1.6607060365,1.6607260779,1.6607323302,1.0153790225,1.0153788848,1.0153769335,0.0035934500
1.5876977879,1.5688979372,1.6842510573,0.9275425198,0.9648572237,0.9714146471,0.0036239700
1.6060853976,1.5343192604,1.5926729023,0.9872455843,0.9333471695,0.9576729356,0.0036315900
